x,y,z
9.9100,-6.1900,-0.3400
9.9100,-6.1900,-0.2400
9.9100,-6.1900,-0.1400
9.9100,-6.1900,-0.0400
9.9100,-6.1900,0.0600
9.9100,-6.1900,0.1600
9.9100,-6.1900,0.2600
9.9100,-6.1900,0.3600
9.9100,-6.1900,0.4600
9.9100,-6.1900,0.5600
9.9100,-6.1900,0.6600
9.9100,-6.1900,0.7600
9.9100,-6.1900,0.8600
9.9100,-6.1900,0.9600
9.9100,-6.1900,1.0600
9.9100,-6.1900,1.1600
9.9100,-6.1900,1.2600
9.9100,-6.1900,1.3600
9.9100,-6.1900,1.4600
9.9100,-6.1900,1.5600
9.9100,-6.1900,1.6600
9.9100,-6.1900,1.7600
9.9100,-6.1900,1.8600
9.9100,-6.1900,1.9600
9.9100,-6.1900,2.0600
9.9100,-6.1900,2.1600
9.9100,-6.1900,2.2600
9.9100,-6.1900,2.3600
9.9100,-6.1900,2.4600
9.9100,-6.1900,2.5600
9.9100,-6.0900,-0.9400
9.9100,-6.0900,-0.8400
9.9100,-6.0900,-0.7400
9.9100,-6.0900,-0.6400
9.9100,-6.0900,-0.5400
9.9100,-6.0900,-0.4400
9.9100,-6.0900,-0.3400
9.9100,-6.0900,-0.2400
9.9100,-6.0900,-0.1400
9.9100,-6.0900,-0.0400
9.9100,-6.0900,0.0600
9.9100,-6.0900,0.1600
9.9100,-6.0900,0.2600
9.9100,-6.0900,0.3600
9.9100,-6.0900,0.4600
9.9100,-6.0900,0.5600
9.9100,-6.0900,0.6600
9.9100,-6.0900,0.7600
9.9100,-6.0900,0.8600
9.9100,-6.0900,0.9600
9.9100,-6.0900,1.0600
9.9100,-6.0900,1.1600
9.9100,-6.0900,1.2600
9.9100,-6.0900,1.3600
9.9100,-6.0900,1.4600
9.9100,-6.0900,1.5600
9.9100,-6.0900,1.6600
9.9100,-6.0900,1.7600
9.9100,-6.0900,1.8600
9.9100,-6.0900,1.9600
9.9100,-6.0900,2.0600
9.9100,-5.9900,-0.9400
9.9100,-5.9900,-0.8400
9.9100,-5.9900,-0.7400
9.9100,-5.9900,-0.6400
9.9100,-5.9900,-0.5400
9.9100,-5.9900,-0.4400
9.9100,-5.9900,-0.3400
9.9100,-5.9900,-0.2400
9.9100,-5.9900,-0.1400
9.9100,-5.9900,-0.0400
9.9100,-5.9900,0.0600
9.9100,-5.9900,0.1600
9.9100,-5.9900,0.2600
9.9100,-5.9900,0.3600
9.9100,-5.9900,0.4600
9.9100,-5.9900,0.5600
9.9100,-5.9900,0.6600
9.9100,-5.9900,0.7600
9.9100,-5.9900,0.8600
9.9100,-5.9900,0.9600
9.9100,-5.9900,1.0600
9.9100,-5.9900,1.1600
9.9100,-5.9900,1.2600
9.9100,-5.9900,1.3600
9.9100,-5.9900,1.4600
9.9100,-5.9900,1.5600
9.9100,-5.9900,1.6600
9.9100,-5.9900,1.7600
9.9100,-5.9900,1.8600
9.9100,-5.9900,1.9600
9.9100,-5.9900,2.0600
9.9100,-5.9900,2.1600
9.9100,-5.8900,-0.9400
9.9100,-5.8900,-0.8400
9.9100,-5.8900,-0.7400
9.9100,-5.8900,-0.6400
9.9100,-5.8900,-0.5400
9.9100,-5.8900,-0.4400
9.9100,-5.8900,-0.3400
9.9100,-5.8900,-0.2400
9.9100,-5.8900,-0.1400
9.9100,-5.8900,-0.0400
9.9100,-5.8900,0.0600
9.9100,-5.8900,0.1600
9.9100,-5.8900,0.2600
9.9100,-5.8900,0.3600
9.9100,-5.8900,0.4600
9.9100,-5.8900,0.5600
9.9100,-5.8900,0.6600
9.9100,-5.8900,0.7600
9.9100,-5.8900,0.8600
9.9100,-5.8900,0.9600
9.9100,-5.8900,1.0600
9.9100,-5.8900,1.1600
9.9100,-5.8900,1.2600
9.9100,-5.8900,1.3600
9.9100,-5.8900,1.4600
9.9100,-5.8900,1.5600
9.9100,-5.8900,1.6600
9.9100,-5.8900,1.7600
9.9100,-5.8900,1.8600
9.9100,-5.8900,1.9600
9.9100,-5.8900,2.0600
9.9100,-5.8900,2.1600
9.9100,-5.8900,2.2600
9.9100,-5.8900,2.3600
9.9100,-5.8900,2.4600
9.9100,-5.7900,-0.9400
9.9100,-5.7900,-0.8400
9.9100,-5.7900,-0.7400
9.9100,-5.7900,-0.6400
9.9100,-5.7900,-0.5400
9.9100,-5.7900,-0.4400
9.9100,-5.7900,-0.3400
9.9100,-5.7900,-0.2400
9.9100,-5.7900,-0.1400
9.9100,-5.7900,-0.0400
9.9100,-5.7900,0.0600
9.9100,-5.7900,0.1600
9.9100,-5.7900,0.2600
9.9100,-5.7900,0.3600
9.9100,-5.7900,0.4600
9.9100,-5.7900,0.5600
9.9100,-5.7900,0.6600
9.9100,-5.7900,0.7600
9.9100,-5.7900,0.8600
9.9100,-5.7900,0.9600
9.9100,-5.7900,1.0600
9.9100,-5.7900,1.1600
9.9100,-5.7900,1.2600
9.9100,-5.7900,1.3600
9.9100,-5.7900,1.4600
9.9100,-5.7900,1.5600
9.9100,-5.7900,1.6600
9.9100,-5.7900,1.7600
9.9100,-5.7900,1.8600
9.9100,-5.7900,1.9600
9.9100,-5.7900,2.0600
9.9100,-5.6900,-0.9400
9.9100,-5.6900,-0.8400
9.9100,-5.6900,-0.7400
9.9100,-5.6900,-0.6400
9.9100,-5.6900,-0.5400
9.9100,-5.6900,-0.4400
9.9100,-5.6900,-0.3400
9.9100,-5.6900,-0.2400
9.9100,-5.6900,-0.1400
9.9100,-5.6900,-0.0400
9.9100,-5.6900,0.0600
9.9100,-5.6900,0.1600
9.9100,-5.6900,0.2600
9.9100,-5.6900,0.3600
9.9100,-5.6900,0.4600
9.9100,-5.6900,0.5600
9.9100,-5.6900,0.6600
9.9100,-5.6900,0.7600
9.9100,-5.6900,0.8600
9.9100,-5.6900,0.9600
9.9100,-5.6900,1.0600
9.9100,-5.6900,1.1600
9.9100,-5.6900,1.2600
9.9100,-5.6900,1.3600
9.9100,-5.6900,1.4600
9.9100,-5.6900,1.5600
9.9100,-5.6900,1.6600
9.9100,-5.6900,1.7600
9.9100,-5.6900,1.8600
9.9100,-5.6900,1.9600
9.9100,-5.6900,2.0600
9.9100,-5.6900,2.1600
9.9100,-5.6900,2.2600
9.9100,-5.6900,2.3600
9.9100,-5.6900,2.4600
10.0100,-6.1900,-0.9400
10.0100,-6.1900,-0.8400
10.0100,-6.1900,-0.7400
10.0100,-6.1900,-0.6400
10.0100,-6.1900,-0.5400
10.0100,-6.1900,-0.4400
10.0100,-6.1900,-0.3400
10.0100,-6.1900,-0.2400
10.0100,-6.1900,-0.1400
10.0100,-6.1900,-0.0400
10.0100,-6.1900,0.0600
10.0100,-6.1900,0.1600
10.0100,-6.1900,0.2600
10.0100,-6.1900,0.3600
10.0100,-6.1900,0.4600
10.0100,-6.1900,0.5600
10.0100,-6.1900,0.6600
10.0100,-6.1900,0.7600
10.0100,-6.1900,0.8600
10.0100,-6.1900,0.9600
10.0100,-6.1900,1.0600
10.0100,-6.1900,1.1600
10.0100,-6.1900,1.2600
10.0100,-6.1900,1.3600
10.0100,-6.1900,1.4600
10.0100,-6.1900,1.5600
10.0100,-6.1900,1.6600
10.0100,-6.1900,1.7600
10.0100,-6.1900,1.8600
10.0100,-6.1900,1.9600
10.0100,-6.1900,2.0600
10.0100,-6.1900,2.1600
10.0100,-6.1900,2.2600
10.0100,-6.1900,2.3600
10.0100,-6.1900,2.4600
10.0100,-6.0900,-0.9400
10.0100,-6.0900,-0.8400
10.0100,-6.0900,-0.7400
10.0100,-6.0900,-0.6400
10.0100,-6.0900,-0.5400
10.0100,-6.0900,-0.4400
10.0100,-6.0900,-0.3400
10.0100,-6.0900,-0.2400
10.0100,-6.0900,-0.1400
10.0100,-6.0900,-0.0400
10.0100,-6.0900,0.0600
10.0100,-6.0900,0.1600
10.0100,-6.0900,0.2600
10.0100,-6.0900,0.3600
10.0100,-6.0900,0.4600
10.0100,-6.0900,0.5600
10.0100,-6.0900,0.6600
10.0100,-6.0900,0.7600
10.0100,-6.0900,0.8600
10.0100,-6.0900,0.9600
10.0100,-6.0900,1.0600
10.0100,-6.0900,1.1600
10.0100,-6.0900,1.2600
10.0100,-6.0900,1.3600
10.0100,-6.0900,1.4600
10.0100,-6.0900,1.5600
10.0100,-6.0900,1.6600
10.0100,-6.0900,1.7600
10.0100,-6.0900,1.8600
10.0100,-6.0900,1.9600
10.0100,-6.0900,2.0600
10.0100,-6.0900,2.1600
10.0100,-6.0900,2.2600
10.0100,-6.0900,2.3600
10.0100,-6.0900,2.4600
10.0100,-6.0900,2.5600
10.0100,-6.0900,2.6600
10.0100,-5.9900,-0.9400
10.0100,-5.9900,-0.8400
10.0100,-5.9900,-0.7400
10.0100,-5.9900,-0.6400
10.0100,-5.9900,-0.5400
10.0100,-5.9900,-0.4400
10.0100,-5.9900,-0.3400
10.0100,-5.9900,-0.2400
10.0100,-5.9900,-0.1400
10.0100,-5.9900,-0.0400
10.0100,-5.9900,0.0600
10.0100,-5.9900,0.1600
10.0100,-5.9900,0.2600
10.0100,-5.9900,0.3600
10.0100,-5.9900,0.4600
10.0100,-5.9900,0.5600
10.0100,-5.9900,0.6600
10.0100,-5.9900,0.7600
10.0100,-5.9900,0.8600
10.0100,-5.9900,0.9600
10.0100,-5.9900,1.0600
10.0100,-5.9900,1.1600
10.0100,-5.9900,1.2600
10.0100,-5.9900,1.3600
10.0100,-5.9900,1.4600
10.0100,-5.9900,1.5600
10.0100,-5.9900,1.6600
10.0100,-5.9900,1.7600
10.0100,-5.9900,1.8600
10.0100,-5.9900,1.9600
10.0100,-5.9900,2.0600
10.0100,-5.9900,2.1600
10.0100,-5.9900,2.2600
10.0100,-5.9900,2.3600
10.0100,-5.9900,2.4600
10.0100,-5.9900,2.5600
10.0100,-5.9900,2.6600
10.0100,-5.9900,2.7600
10.0100,-5.9900,2.8600
10.0100,-5.8900,-0.9400
10.0100,-5.8900,-0.8400
10.0100,-5.8900,-0.7400
10.0100,-5.8900,-0.6400
10.0100,-5.8900,-0.5400
10.0100,-5.8900,-0.4400
10.0100,-5.8900,-0.3400
10.0100,-5.8900,-0.2400
10.0100,-5.8900,-0.1400
10.0100,-5.8900,-0.0400
10.0100,-5.8900,0.0600
10.0100,-5.8900,0.1600
10.0100,-5.8900,0.2600
10.0100,-5.8900,0.3600
10.0100,-5.8900,0.4600
10.0100,-5.8900,0.5600
10.0100,-5.8900,0.6600
10.0100,-5.8900,0.7600
10.0100,-5.8900,0.8600
10.0100,-5.8900,0.9600
10.0100,-5.8900,1.0600
10.0100,-5.8900,1.1600
10.0100,-5.8900,1.2600
10.0100,-5.8900,1.3600
10.0100,-5.8900,1.4600
10.0100,-5.8900,1.5600
10.0100,-5.8900,1.6600
10.0100,-5.8900,1.7600
10.0100,-5.8900,1.8600
10.0100,-5.8900,1.9600
10.0100,-5.8900,2.0600
10.0100,-5.8900,2.1600
10.0100,-5.8900,2.2600
10.0100,-5.8900,2.3600
10.0100,-5.8900,2.4600
10.0100,-5.7900,-0.9400
10.0100,-5.7900,-0.8400
10.0100,-5.7900,-0.7400
10.0100,-5.7900,-0.6400
10.0100,-5.7900,-0.5400
10.0100,-5.7900,-0.4400
10.0100,-5.7900,-0.3400
10.0100,-5.7900,-0.2400
10.0100,-5.7900,-0.1400
10.0100,-5.7900,-0.0400
10.0100,-5.7900,0.0600
10.0100,-5.7900,0.1600
10.0100,-5.7900,0.2600
10.0100,-5.7900,0.3600
10.0100,-5.7900,0.4600
10.0100,-5.7900,0.5600
10.0100,-5.7900,0.6600
10.0100,-5.7900,0.7600
10.0100,-5.7900,0.8600
10.0100,-5.7900,0.9600
10.0100,-5.7900,1.0600
10.0100,-5.7900,1.1600
10.0100,-5.7900,1.2600
10.0100,-5.7900,1.3600
10.0100,-5.7900,1.4600
10.0100,-5.7900,1.5600
10.0100,-5.7900,1.6600
10.0100,-5.7900,1.7600
10.0100,-5.7900,1.8600
10.0100,-5.7900,1.9600
10.0100,-5.7900,2.0600
10.0100,-5.6900,-0.9400
10.0100,-5.6900,-0.8400
10.0100,-5.6900,-0.7400
10.0100,-5.6900,-0.6400
10.0100,-5.6900,-0.5400
10.0100,-5.6900,-0.4400
10.0100,-5.6900,-0.3400
10.0100,-5.6900,-0.2400
10.0100,-5.6900,-0.1400
10.0100,-5.6900,-0.0400
10.0100,-5.6900,0.0600
10.0100,-5.6900,0.1600
10.0100,-5.6900,0.2600
10.0100,-5.6900,0.3600
10.0100,-5.6900,0.4600
10.0100,-5.6900,0.5600
10.0100,-5.6900,0.6600
10.0100,-5.6900,0.7600
10.0100,-5.6900,0.8600
10.0100,-5.6900,0.9600
10.0100,-5.6900,1.0600
10.0100,-5.6900,1.1600
10.0100,-5.6900,1.2600
10.0100,-5.6900,1.3600
10.0100,-5.6900,1.4600
10.0100,-5.6900,1.5600
10.0100,-5.6900,1.6600
10.0100,-5.6900,1.7600
10.0100,-5.6900,1.8600
10.0100,-5.6900,1.9600
10.0100,-5.6900,2.0600
10.0100,-5.6900,2.1600
10.0100,-5.6900,2.2600
10.0100,-5.6900,2.3600
10.0100,-5.6900,2.4600
10.0100,-5.6900,2.5600
10.0100,-5.6900,2.6600
10.1100,-6.1900,-0.9400
10.1100,-6.1900,-0.8400
10.1100,-6.1900,-0.7400
10.1100,-6.1900,-0.6400
10.1100,-6.1900,-0.5400
10.1100,-6.1900,-0.4400
10.1100,-6.1900,-0.3400
10.1100,-6.1900,-0.2400
10.1100,-6.1900,-0.1400
10.1100,-6.1900,-0.0400
10.1100,-6.1900,0.0600
10.1100,-6.1900,0.1600
10.1100,-6.1900,0.2600
10.1100,-6.1900,0.3600
10.1100,-6.1900,0.4600
10.1100,-6.1900,0.5600
10.1100,-6.1900,0.6600
10.1100,-6.1900,0.7600
10.1100,-6.1900,0.8600
10.1100,-6.1900,0.9600
10.1100,-6.1900,1.0600
10.1100,-6.1900,1.1600
10.1100,-6.1900,1.2600
10.1100,-6.1900,1.3600
10.1100,-6.1900,1.4600
10.1100,-6.1900,1.5600
10.1100,-6.1900,1.6600
10.1100,-6.1900,1.7600
10.1100,-6.1900,1.8600
10.1100,-6.1900,1.9600
10.1100,-6.1900,2.0600
10.1100,-6.1900,2.1600
10.1100,-6.1900,2.2600
10.1100,-6.1900,2.3600
10.1100,-6.1900,2.4600
10.1100,-6.1900,2.5600
10.1100,-6.1900,2.6600
10.1100,-6.1900,2.7600
10.1100,-6.0900,-0.9400
10.1100,-6.0900,-0.8400
10.1100,-6.0900,-0.7400
10.1100,-6.0900,-0.6400
10.1100,-6.0900,-0.5400
10.1100,-6.0900,-0.4400
10.1100,-6.0900,-0.3400
10.1100,-6.0900,-0.2400
10.1100,-6.0900,-0.1400
10.1100,-6.0900,-0.0400
10.1100,-6.0900,0.0600
10.1100,-6.0900,0.1600
10.1100,-6.0900,0.2600
10.1100,-6.0900,0.3600
10.1100,-6.0900,0.4600
10.1100,-6.0900,0.5600
10.1100,-6.0900,0.6600
10.1100,-6.0900,0.7600
10.1100,-6.0900,0.8600
10.1100,-6.0900,0.9600
10.1100,-6.0900,1.0600
10.1100,-6.0900,1.1600
10.1100,-6.0900,1.2600
10.1100,-6.0900,1.3600
10.1100,-6.0900,1.4600
10.1100,-6.0900,1.5600
10.1100,-6.0900,1.6600
10.1100,-6.0900,1.7600
10.1100,-6.0900,1.8600
10.1100,-6.0900,1.9600
10.1100,-6.0900,2.0600
10.1100,-6.0900,2.1600
10.1100,-6.0900,2.2600
10.1100,-6.0900,2.3600
10.1100,-6.0900,2.4600
10.1100,-6.0900,2.5600
10.1100,-5.9900,-0.9400
10.1100,-5.9900,-0.8400
10.1100,-5.9900,-0.7400
10.1100,-5.9900,-0.6400
10.1100,-5.9900,-0.5400
10.1100,-5.9900,-0.4400
10.1100,-5.9900,-0.3400
10.1100,-5.9900,-0.2400
10.1100,-5.9900,-0.1400
10.1100,-5.9900,-0.0400
10.1100,-5.9900,0.0600
10.1100,-5.9900,0.1600
10.1100,-5.9900,0.2600
10.1100,-5.9900,0.3600
10.1100,-5.9900,0.4600
10.1100,-5.9900,0.5600
10.1100,-5.9900,0.6600
10.1100,-5.9900,0.7600
10.1100,-5.9900,0.8600
10.1100,-5.9900,0.9600
10.1100,-5.9900,1.0600
10.1100,-5.9900,1.1600
10.1100,-5.9900,1.2600
10.1100,-5.9900,1.3600
10.1100,-5.9900,1.4600
10.1100,-5.9900,1.5600
10.1100,-5.9900,1.6600
10.1100,-5.9900,1.7600
10.1100,-5.9900,1.8600
10.1100,-5.9900,1.9600
10.1100,-5.9900,2.0600
10.1100,-5.8900,-0.9400
10.1100,-5.8900,-0.8400
10.1100,-5.8900,-0.7400
10.1100,-5.8900,-0.6400
10.1100,-5.8900,-0.5400
10.1100,-5.8900,-0.4400
10.1100,-5.8900,-0.3400
10.1100,-5.8900,-0.2400
10.1100,-5.8900,-0.1400
10.1100,-5.8900,-0.0400
10.1100,-5.8900,0.0600
10.1100,-5.8900,0.1600
10.1100,-5.8900,0.2600
10.1100,-5.8900,0.3600
10.1100,-5.8900,0.4600
10.1100,-5.8900,0.5600
10.1100,-5.8900,0.6600
10.1100,-5.8900,0.7600
10.1100,-5.8900,0.8600
10.1100,-5.8900,0.9600
10.1100,-5.8900,1.0600
10.1100,-5.8900,1.1600
10.1100,-5.8900,1.2600
10.1100,-5.8900,1.3600
10.1100,-5.8900,1.4600
10.1100,-5.8900,1.5600
10.1100,-5.8900,1.6600
10.1100,-5.8900,1.7600
10.1100,-5.8900,1.8600
10.1100,-5.8900,1.9600
10.1100,-5.8900,2.0600
10.1100,-5.8900,2.1600
10.1100,-5.8900,2.2600
10.1100,-5.8900,2.3600
10.1100,-5.8900,2.4600
10.1100,-5.7900,-0.9400
10.1100,-5.7900,-0.8400
10.1100,-5.7900,-0.7400
10.1100,-5.7900,-0.6400
10.1100,-5.7900,-0.5400
10.1100,-5.7900,-0.4400
10.1100,-5.7900,-0.3400
10.1100,-5.7900,-0.2400
10.1100,-5.7900,-0.1400
10.1100,-5.7900,-0.0400
10.1100,-5.7900,0.0600
10.1100,-5.7900,0.1600
10.1100,-5.7900,0.2600
10.1100,-5.7900,0.3600
10.1100,-5.7900,0.4600
10.1100,-5.7900,0.5600
10.1100,-5.7900,0.6600
10.1100,-5.7900,0.7600
10.1100,-5.7900,0.8600
10.1100,-5.7900,0.9600
10.1100,-5.7900,1.0600
10.1100,-5.7900,1.1600
10.1100,-5.7900,1.2600
10.1100,-5.7900,1.3600
10.1100,-5.7900,1.4600
10.1100,-5.7900,1.5600
10.1100,-5.7900,1.6600
10.1100,-5.7900,1.7600
10.1100,-5.7900,1.8600
10.1100,-5.7900,1.9600
10.1100,-5.7900,2.0600
10.1100,-5.7900,2.1600
10.1100,-5.7900,2.2600
10.1100,-5.7900,2.3600
10.1100,-5.7900,2.4600
10.1100,-5.7900,2.5600
10.1100,-5.6900,-0.9400
10.1100,-5.6900,-0.8400
10.1100,-5.6900,-0.7400
10.1100,-5.6900,-0.6400
10.1100,-5.6900,-0.5400
10.1100,-5.6900,-0.4400
10.1100,-5.6900,-0.3400
10.1100,-5.6900,-0.2400
10.1100,-5.6900,-0.1400
10.1100,-5.6900,-0.0400
10.1100,-5.6900,0.0600
10.1100,-5.6900,0.1600
10.1100,-5.6900,0.2600
10.1100,-5.6900,0.3600
10.1100,-5.6900,0.4600
10.1100,-5.6900,0.5600
10.1100,-5.6900,0.6600
10.1100,-5.6900,0.7600
10.1100,-5.6900,0.8600
10.1100,-5.6900,0.9600
10.1100,-5.6900,1.0600
10.1100,-5.6900,1.1600
10.1100,-5.6900,1.2600
10.1100,-5.6900,1.3600
10.1100,-5.6900,1.4600
10.1100,-5.6900,1.5600
10.1100,-5.6900,1.6600
10.1100,-5.6900,1.7600
10.1100,-5.6900,1.8600
10.1100,-5.6900,1.9600
10.1100,-5.6900,2.0600
10.1100,-5.6900,2.1600
10.2100,-6.1900,-0.9400
10.2100,-6.1900,-0.8400
10.2100,-6.1900,-0.7400
10.2100,-6.1900,-0.6400
10.2100,-6.1900,-0.5400
10.2100,-6.1900,-0.4400
10.2100,-6.1900,-0.3400
10.2100,-6.1900,-0.2400
10.2100,-6.1900,-0.1400
10.2100,-6.1900,-0.0400
10.2100,-6.1900,0.0600
10.2100,-6.1900,0.1600
10.2100,-6.1900,0.2600
10.2100,-6.1900,0.3600
10.2100,-6.1900,0.4600
10.2100,-6.1900,0.5600
10.2100,-6.1900,0.6600
10.2100,-6.1900,0.7600
10.2100,-6.1900,0.8600
10.2100,-6.1900,0.9600
10.2100,-6.1900,1.0600
10.2100,-6.1900,1.1600
10.2100,-6.1900,1.2600
10.2100,-6.1900,1.3600
10.2100,-6.1900,1.4600
10.2100,-6.1900,1.5600
10.2100,-6.1900,1.6600
10.2100,-6.1900,1.7600
10.2100,-6.1900,1.8600
10.2100,-6.1900,1.9600
10.2100,-6.1900,2.0600
10.2100,-6.1900,2.1600
10.2100,-6.1900,2.2600
10.2100,-6.1900,2.3600
10.2100,-6.1900,2.4600
10.2100,-6.1900,2.5600
10.2100,-6.1900,2.6600
10.2100,-6.1900,2.7600
10.2100,-6.1900,2.8600
10.2100,-6.1900,2.9600
10.2100,-6.0900,-0.9400
10.2100,-6.0900,-0.8400
10.2100,-6.0900,-0.7400
10.2100,-6.0900,-0.6400
10.2100,-6.0900,-0.5400
10.2100,-6.0900,-0.4400
10.2100,-6.0900,-0.3400
10.2100,-6.0900,-0.2400
10.2100,-6.0900,-0.1400
10.2100,-6.0900,-0.0400
10.2100,-6.0900,0.0600
10.2100,-6.0900,0.1600
10.2100,-6.0900,0.2600
10.2100,-6.0900,0.3600
10.2100,-6.0900,0.4600
10.2100,-6.0900,0.5600
10.2100,-6.0900,0.6600
10.2100,-6.0900,0.7600
10.2100,-6.0900,0.8600
10.2100,-6.0900,0.9600
10.2100,-6.0900,1.0600
10.2100,-6.0900,1.1600
10.2100,-6.0900,1.2600
10.2100,-6.0900,1.3600
10.2100,-6.0900,1.4600
10.2100,-6.0900,1.5600
10.2100,-6.0900,1.6600
10.2100,-6.0900,1.7600
10.2100,-6.0900,1.8600
10.2100,-6.0900,1.9600
10.2100,-6.0900,2.0600
10.2100,-6.0900,2.1600
10.2100,-6.0900,2.2600
10.2100,-6.0900,2.3600
10.2100,-6.0900,2.4600
10.2100,-6.0900,2.5600
10.2100,-6.0900,2.6600
10.2100,-6.0900,2.7600
10.2100,-5.9900,-0.9400
10.2100,-5.9900,-0.8400
10.2100,-5.9900,-0.7400
10.2100,-5.9900,-0.6400
10.2100,-5.9900,-0.5400
10.2100,-5.9900,-0.4400
10.2100,-5.9900,-0.3400
10.2100,-5.9900,-0.2400
10.2100,-5.9900,-0.1400
10.2100,-5.9900,-0.0400
10.2100,-5.9900,0.0600
10.2100,-5.9900,0.1600
10.2100,-5.9900,0.2600
10.2100,-5.9900,0.3600
10.2100,-5.9900,0.4600
10.2100,-5.9900,0.5600
10.2100,-5.9900,0.6600
10.2100,-5.9900,0.7600
10.2100,-5.9900,0.8600
10.2100,-5.9900,0.9600
10.2100,-5.9900,1.0600
10.2100,-5.9900,1.1600
10.2100,-5.9900,1.2600
10.2100,-5.9900,1.3600
10.2100,-5.9900,1.4600
